get	7.293176390621544
lay	7.102372597265877
set	7.100204281211513
pull	6.9849154010111025
getting	6.869756144132007
take	6.849116349573563
held	6.732206078103522
snap	6.686408381040637
slip	6.635383204498272
stick	6.610923079057034
stand	6.6015933428412
put	6.583441366657815
bust	6.57415723574995
throw	6.527140491134288
gettin	6.5158901452853595
hit	6.515460891749065
beat	6.511396127345743
pulling	6.492952856768121
turn	6.439438095234779
sticking	6.388069523132552
spread	6.3780451788557055
flip	6.361107457969829
setting	6.3512168642666165
re	6.350474188234127
knock	6.3421973825681555
up	6.333273894882766
laid	6.326830136359049
roll	6.316200391408493
rolled	6.315861913207395
poke	6.315510314430314
run	6.306084191821882
pulled	6.302902322575399
blown	6.2939107003987065
catch	6.280882785904248
cracking	6.2782866143854115
kick	6.27392663604726
shake	6.262816115768215
holding	6.257655109719911
draw	6.251077261095674
will	6.249169557180548
sneak	6.248263496672074
tear	6.247902399568793
busting	6.24010422991071
toss	6.237461849473338
cast	6.217999159633308
blow	6.2143881101444
engage	6.195793011132437
swinging	6.19146185464498
settle	6.161388546218214
taking	6.136513119045213
drop	6.136466957909286
anti	6.120672571846455
laying	6.1203292199985295
pick	6.116562331501927
blowing	6.103275864067793
push	6.1006858459052005
shove	6.083981469339999
busted	6.076844779997591
whack	6.070222429435251
knocked	6.0598402517632275
haul	6.043540624377539
rub	6.038889682384617
swing	6.038649667530275
cut	6.036210862516682
turning	6.033227808569112
hold	6.031171453597235
spare	6.018468590394502
turned	6.008537543621666
squeeze	6.007495226825869
keep	5.994686125826377
screw	5.992368837604328
drag	5.992059257918656
putting	5.987817341535268
wrap	5.9854102737417305
tapped	5.985332572584351
cleared	5.979769760166704
struck	5.958686148897962
taken	5.957274761295174
ing	5.953718306860843
backed	5.953604906275716
crashing	5.953408309502483
picking	5.943930612409037
rip	5.941972524378978
steer	5.941855534714178
hitting	5.936188208635586
drawn	5.93481175180595
blew	5.932078272720908
fit	5.925038753557825
break	5.923025470073416
pour	5.922760131085708
stepping	5.913282759547047
bring	5.902726869296623
cracked	5.899149130733822
make	5.8949630576502585
popped	5.893497782803376
popping	5.891032231636789
bump	5.889779715468828
messed	5.88776772872917
thrown	5.877421492612712
manage	5.873337443231566
snatch	5.872448173506237
settled	5.871552215988893
dump	5.8711691819116805
scramble	5.869651735750198
gotten	5.861509637027076
screwing	5.85698997266473
flush	5.856284126537435
pushing	5.852929694165557
dig	5.845357596131278
kept	5.839302079618815
grind	5.836621045852114
jacked	5.8306323372747055
scrub	5.826034463331375
pre	5.821474943525386
running	5.817698475890004
flipped	5.815821545432266
sneaking	5.8145521101945405
suck	5.813832445342414
picked	5.813212995603081
flipping	5.812852686865634
attach	5.811631226573264
hooked	5.806211035780612
ran	5.804646036051231
pumped	5.796839229945831
hook	5.789845898934972
indulge	5.7870452491835636
caught	5.782527722671675
tease	5.779066269730714
swept	5.77558176293112
sprung	5.774001026962566
crawl	5.766863747275092
throwing	5.766829819788108
stood	5.761678624702775
takin	5.760187966778293
settling	5.756298504849726
stir	5.750680188575711
stepped	5.744619329248663
choke	5.740410918782843
keeping	5.7370491952266125
catching	5.734433572897631
dip	5.728261695729952
smack	5.726104924344876
lean	5.7253444637911715
would	5.718884359352194
co	5.717034696513955
crack	5.714690506456392
ripped	5.7128917906068
stuck	5.71007761750993
slipping	5.704188303524402
ripping	5.697708337778913
driven	5.693990404334274
tearing	5.6826717354618115
scrape	5.680316016144892
piss	5.680150413532776
grab	5.679101519533112
cheering	5.676977345652611
slide	5.664462286098169
hanging	5.6644414413605055
pouring	5.663493858527111
creep	5.654935488673387
rubbing	5.654326387511026
hooking	5.652821832621747
snapping	5.6508707857320175
burst	5.649275879143341
breaking	5.6482562848153215
split	5.648137415552481
555	5.632512060297556
tossed	5.63174715789036
tapping	5.6307082962303845
crank	5.630481447955875
dealt	5.6235488080612
bent	5.621389304582667
gonna	5.619705409024705
pitch	5.619685190923096
rise	5.615007341623931
pinned	5.610189673591873
poking	5.608715610114692
removed	5.608163185292678
chattering	5.606063545698733
took	5.603590148566769
messing	5.6021255013379845
wipe	5.597314640848602
rode	5.595907740718078
r	5.588076480105036
kicked	5.587935924730002
bounce	5.586121927084329
rubbed	5.58569716259409
tackle	5.5845667725634325
slam	5.583406125471001
snapped	5.580150248960722
knocking	5.5792249016951745
swung	5.578267580892721
tighten	5.576762800002175
give	5.5736359530800765
wired	5.573135980853153
drift	5.573008433294585
humping	5.565386225479552
lined	5.565102165847327
plunge	5.561258739605641
kicking	5.560199971819267
smash	5.560043823140516
winding	5.5600094642522855
attached	5.558152871445257
walked	5.5577891396194765
lead	5.5565482109214495
leading	5.555566919400174
bend	5.554551699267009
hammered	5.55282395339693
sucked	5.55253653803934
move	5.541813251343113
seize	5.541627660256477
creeping	5.5409632073943555
bound	5.539779924582719
banging	5.538835918245093
slap	5.538597358180693
soak	5.536029578189168
shall	5.532705821253815
rocked	5.5305371046525105
pin	5.529804476352219
poked	5.528673016650601
haunt	5.52730632315285
moving	5.521719310082312
stall	5.521253643053653
fitted	5.51982169220027
gets	5.51979517907829
poured	5.514009449887325
torn	5.505238958481342
cutting	5.502502207445273
remove	5.501838702778498
straighten	5.500062410221428
provide	5.499856014320225
pressed	5.49962879483037
pounding	5.4995883885537715
stretch	5.4980300072889525
engaging	5.497600235931765
plug	5.496228221780912
whacked	5.495542476700106
render	5.495451722422578
tap	5.495125688343622
accounted	5.491737446766832
bugger	5.489488515472185
backing	5.489317651517137
dumping	5.486729049243664
check	5.485789331319228
restrain	5.485575341281494
